ligand,affinity
ZINC000003806262,-5.6
ZINC000003813010,-5.6
ZINC000003813078,-5.6
ZINC000003824921,-5.6
ZINC000003830635,-5.6
ZINC000003831282,-5.6
ZINC000003831586,-5.6
ZINC000003871541,-5.6
ZINC000003871701,-5.6
ZINC000003872605,-5.6
ZINC000003872738,-5.6
ZINC000003982483,-5.6
ZINC000004099200,-5.6
ZINC000009302201,-5.6
ZINC000013587680,-5.6
ZINC000019144226,-5.6
ZINC000019166988,-5.6
ZINC000019364222,-5.6
ZINC000019796087,-5.6
ZINC000038945666,-5.6
ZINC000100009280,-5.6
ZINC000100015775,-5.6
ZINC000100055899,-5.6
ZINC000000000346,-5.5
ZINC000000000494,-5.5
ZINC000000000607,-5.5
ZINC000000001281,-5.5
ZINC000000001382,-5.5
ZINC000000001728,-5.5
ZINC000000002043,-5.5
ZINC000000006251,-5.5
ZINC000000007782,-5.5
ZINC000000014007,-5.5
ZINC000000014037,-5.5
ZINC000000014360,-5.5
ZINC000000014864,-5.5
ZINC000000020230,-5.5
ZINC000000056647,-5.5
ZINC000000057532,-5.5
ZINC000000083315,-5.5
ZINC000000113426,-5.5
ZINC000000155269,-5.5
ZINC000000508068,-5.5
ZINC000000518554,-5.5
ZINC000000538509,-5.5
ZINC000000607939,-5.5
ZINC000000897258,-5.5
ZINC000000968328,-5.5
ZINC000000968336,-5.5
ZINC000001481833,-5.5
ZINC000001482049,-5.5
ZINC000001530617,-5.5
ZINC000001530694,-5.5
ZINC000001530707,-5.5
ZINC000001542392,-5.5
ZINC000001633887,-5.5
ZINC000002522648,-5.5
ZINC000003798763,-5.5
ZINC000003812863,-5.5
ZINC000003812944,-5.5
ZINC000003813061,-5.5
ZINC000003830405,-5.5
ZINC000003830999,-5.5
ZINC000003831138,-5.5
ZINC000003874498,-5.5
ZINC000003941829,-5.5
ZINC000003956788,-5.5
ZINC000006733300,-5.5
ZINC000012495062,-5.5
ZINC000017146904,-5.5
ZINC000019144216,-5.5
ZINC000019364224,-5.5
ZINC000019632706,-5.5
ZINC000019702309,-5.5
ZINC000019875504,-5.5
ZINC000028108825,-5.5
ZINC000030691760,-5.5
ZINC000043202140,-5.5
ZINC000043450324,-5.5
ZINC000049643479,-5.5
ZINC000084400879,-5.5
ZINC000100001918,-5.5
ZINC000100008319,-5.5
ZINC000242437513,-5.5
ZINC000000000096,-5.4
ZINC000000000196,-5.4
ZINC000000000941,-5.4
ZINC000000001411,-5.4
ZINC000000001681,-5.4
ZINC000000002647,-5.4
ZINC000000004009,-5.4
ZINC000000004166,-5.4
ZINC000000020250,-5.4
ZINC000000020255,-5.4
ZINC000000056645,-5.4
ZINC000000056646,-5.4
ZINC000000057254,-5.4
ZINC000000057533,-5.4
ZINC000000113404,-5.4
ZINC000000537957,-5.4
ZINC000000896569,-5.4
ZINC000000896703,-5.4
ZINC000000896819,-5.4
ZINC000000897291,-5.4
ZINC000001530716,-5.4
ZINC000001530756,-5.4
ZINC000001530816,-5.4
ZINC000001530863,-5.4
ZINC000001530912,-5.4
ZINC000001530938,-5.4
ZINC000001530939,-5.4
ZINC000001995484,-5.4
ZINC000002000707,-5.4
ZINC000002015035,-5.4
ZINC000002016257,-5.4
